State/UTs,Population
Uttar Pradesh,233200000
Maharashtra,125400000
Bihar,124900000
West Bengal,98600000
Madhya Pradesh,85500000
Tamil Nadu,76600000
Rajasthan,80000000
Karnataka,67200000
Gujarat,70000000
Andhra Pradesh,5300000
Odisha,46000000
Telengana,37900000
Kerala,35600000
Jharkhand,39000000
Assam,35400000
Punjab,30500000
Chhattisgarh,29800000
Haryana,29800000
Delhi,21000000
Jammu and Kashmir,13500000
Uttarakhand,11500000
Himachal Pradesh,7400000
Tripura,4100000
Meghalaya,3318000
Manipur,3194000
Nagaland,2213000
Goa,1567000
Arunachal Pradesh,1548000
Puducherry,1608000
Mizoram,1227000
Chandigarh,1277000
Sikkim,683000
Dadra and Nagar Haveli and Daman and Diu,1077000
Andaman and Nicobar,400000
Ladakh,297000
Lakshadweep,68000
